"filename", "language", "C#", "XML", "comment", "blank", "total"
"c:\dev\proj_compiler\cs_compiler\cs_compiler.csproj", "XML", 0, 8, 0, 3, 11
"c:\dev\proj_compiler\cs_compiler\src\Analysis\Analyzer.cs", "C#", 32, 0, 0, 9, 41
"c:\dev\proj_compiler\cs_compiler\src\Analysis\LexicalAnalyzer.cs", "C#", 119, 0, 6, 30, 155
"c:\dev\proj_compiler\cs_compiler\src\Analysis\PostlexicalAnalyzer.cs", "C#", 83, 0, 1, 19, 103
"c:\dev\proj_compiler\cs_compiler\src\Analysis\SyntaxAnalyzer.cs", "C#", 447, 0, 23, 72, 542
"c:\dev\proj_compiler\cs_compiler\src\Analysis\SyntaxDefinition.cs", "C#", 173, 0, 0, 32, 205
"c:\dev\proj_compiler\cs_compiler\src\Analysis\SyntaxKind.cs", "C#", 112, 0, 2, 13, 127
"c:\dev\proj_compiler\cs_compiler\src\Analysis\SyntaxNode.cs", "C#", 41, 0, 1, 11, 53
"c:\dev\proj_compiler\cs_compiler\src\Analysis\SyntaxNodeWriter.cs", "C#", 38, 0, 0, 10, 48
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\Diagnostic.cs", "C#", 17, 0, 3, 4, 24
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\DiagnosticCollection.cs", "C#", 21, 0, 1, 6, 28
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\DiagnosticKind.cs", "C#", 8, 0, 0, 1, 9
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\DiagnosticOrigin.cs", "C#", 8, 0, 0, 1, 9
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\DiagnosticSeverity.cs", "C#", 6, 0, 0, 1, 7
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\Errors\EmptyBlock.cs", "C#", 11, 0, 0, 3, 14
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\Errors\InvalidStatement.cs", "C#", 15, 0, 0, 6, 21
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\Errors\InvalidTopLevelItem.cs", "C#", 15, 0, 0, 6, 21
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\Errors\StringNotClosed.cs", "C#", 15, 0, 0, 4, 19
"c:\dev\proj_compiler\cs_compiler\src\Diagnostics\Errors\UnexpectedToken.cs", "C#", 23, 0, 1, 8, 32
"c:\dev\proj_compiler\cs_compiler\src\Evaluation\Evaluator.cs", "C#", 4, 0, 0, 2, 6
"c:\dev\proj_compiler\cs_compiler\src\Program.cs", "C#", 43, 0, 25, 16, 84
"c:\dev\proj_compiler\cs_compiler\src\Symbols\BuiltinType.cs", "C#", 7, 0, 0, 2, 9
"c:\dev\proj_compiler\cs_compiler\src\Symbols\FunctionSymbol.cs", "C#", 13, 0, 0, 3, 16
"c:\dev\proj_compiler\cs_compiler\src\Symbols\Symbol.cs", "C#", 11, 0, 0, 3, 14
"c:\dev\proj_compiler\cs_compiler\src\Symbols\SymbolKind.cs", "C#", 7, 0, 0, 2, 9
"c:\dev\proj_compiler\cs_compiler\src\Symbols\SymbolModifiers.cs", "C#", 9, 0, 0, 3, 12
"c:\dev\proj_compiler\cs_compiler\src\Symbols\TypeSymbol.cs", "C#", 8, 0, 0, 3, 11
"c:\dev\proj_compiler\cs_compiler\src\Symbols\VariableSymbol.cs", "C#", 11, 0, 0, 3, 14
"c:\dev\proj_compiler\cs_compiler\src\Utils\TextLocation.cs", "C#", 15, 0, 0, 4, 19
"c:\dev\proj_compiler\cs_compiler\src\Utils\TextSpan.cs", "C#", 12, 0, 0, 3, 15
"c:\dev\proj_compiler\cs_compiler_tests\cs_compiler_tests.csproj", "XML", 0, 23, 0, 6, 29
"c:\dev\proj_compiler\cs_compiler_tests\src\LexicalAnalyzerTests.cs", "C#", 78, 0, 11, 21, 110
"Total", "-", 1402, 31, 74, 310, 1817